ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
1;Campo Grande;Campo Grande;Bandeirantes;Bandeirantes;Centro
2;Campo Grande;Campo Grande;Bandeirantes;Bandeirantes;Jardim Nova Bandeirantes
3;Campo Grande;Campo Grande;Bandeirantes;Bandeirantes;Silvino De Barros
4;Campo Grande;Campo Grande;Camapua;Camapua;Bairro Alto
5;Campo Grande;Campo Grande;Camapua;Camapua;Bairro Chacara Recrerio Brilhante
6;Campo Grande;Campo Grande;Camapua;Camapua;Centro
7;Campo Grande;Campo Grande;Camapua;Camapua;Coophavale
8;Campo Grande;Campo Grande;Camapua;Camapua;Jardim America
9;Campo Grande;Campo Grande;Camapua;Camapua;Lagoa
10;Campo Grande;Campo Grande;Camapua;Camapua;Parque Dos Ipes
11;Campo Grande;Campo Grande;Camapua;Camapua;Parque Dos Ypes
12;Campo Grande;Campo Grande;Camapua;Camapua;Vila Izolina
13;Campo Grande;Campo Grande;Campo Grande;Segredo;Agua Limpa Park
14;Campo Grande;Campo Grande;Campo Grande;Prosa;Aguadinha
15;Campo Grande;Campo Grande;Campo Grande;Prosa;Alphaville Campo Grande 4
16;Campo Grande;Campo Grande;Campo Grande;Centro;Amambai
17;Campo Grande;Campo Grande;Campo Grande;Distrito / Rural;Anhandui
18;Campo Grande;Campo Grande;Campo Grande;Segredo;Arnaldino Da Silva
19;Campo Grande;Campo Grande;Campo Grande;Bandeira;Arnaldo Estevao Figueiredo
20;Campo Grande;Campo Grande;Campo Grande;Segredo;Ary Abussafi De Lima
21;Campo Grande;Campo Grande;Campo Grande;Segredo;Bairro Nova Olinda
22;Campo Grande;Campo Grande;Campo Grande;Lagoa;Bairro Sao Pedro
23;Campo Grande;Campo Grande;Campo Grande;Segredo;Bairro Seminario
24;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Bairro Taquarussu
25;Campo Grande;Campo Grande;Campo Grande;Lagoa;Bandeirantes
26;Campo Grande;Campo Grande;Campo Grande;Centro;Barao Do Rio Branco
27;Campo Grande;Campo Grande;Campo Grande;Segredo;Bom Retiro
28;Campo Grande;Campo Grande;Campo Grande;Lagoa;Bonjardim
29;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Bosque Das Araras
30;Campo Grande;Campo Grande;Campo Grande;Segredo;Bosque De Avilan
31;Campo Grande;Campo Grande;Campo Grande;Prosa;Bosque Do Carvalho
32;Campo Grande;Campo Grande;Campo Grande;Centro;Cabreuva
33;Campo Grande;Campo Grande;Campo Grande;Prosa;Cachoeira II
34;Campo Grande;Campo Grande;Campo Grande;Lagoa;Caicara
35;Campo Grande;Campo Grande;Campo Grande;Prosa;Caranda Bosque
36;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Centenario
37;Campo Grande;Campo Grande;Campo Grande;Centro;Centro
38;Campo Grande;Campo Grande;Campo Grande;Centro;Chacara Cachoeira
39;Campo Grande;Campo Grande;Campo Grande;Distrito / Rural;Chacara Das Mansoes
40;Campo Grande;Campo Grande;Campo Grande;Distrito / Rural;Cidade Anhandui
41;Campo Grande;Campo Grande;Campo Grande;Prosa;Cidade Jardim
42;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Cohafama
43;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Conjunto Aero Rancho
44;Campo Grande;Campo Grande;Campo Grande;Prosa;Conjunto Habitacional Estrela D'Alva I
45;Campo Grande;Campo Grande;Campo Grande;Prosa;Conjunto Habitacional Estrela D'Alva III
46;Campo Grande;Campo Grande;Campo Grande;Segredo;Conjunto Habitacional Jardim Talisma
